evidence_id,source,event_type,timestamp,phone,imei,imsi,upi_id,bank_account,transaction_id,ip_address,email,amount
EV-101,CDR,CALL,2026-09-20T08:15:00Z,+919876543210,358912345678901,404450123456789,,,,192.168.1.45,target1@mulebank.com,0
EV-102,CDR,CALL,2026-09-20T08:22:00Z,+919876543211,358912345678901,404450987654321,,,,192.168.1.45,target2@mulebank.com,0
EV-103,IPDR,WEB_SESSION,2026-09-20T08:30:00Z,+919876543210,,,victim_pay@okbank,,,192.168.1.45,,0
EV-104,UPI_GATEWAY,PAYMENT,2026-09-20T08:35:00Z,+919876543210,,,beneficiary_mule@okbank,ACC-883210,TXN-90011,,victim_pay@okbank,25000
EV-105,BANK_LOG,TRANSFER,2026-09-20T08:45:00Z,,,,beneficiary_mule@okbank,ACC-883210,TXN-90012,10.0.4.12,,25000
EV-106,BANK_LOG,TRANSFER,2026-09-20T09:10:00Z,,,,beneficiary_mule@okbank,ACC-994411,TXN-90013,10.0.4.12,,18000
EV-107,CDR,SMS,2026-09-20T09:30:00Z,+919876543212,358912345678901,404450123456789,,,,192.168.1.88,,0
EV-108,ANDROID_LOG,APP_ACTIVITY,2026-09-20T09:40:00Z,+919876543212,,404450777888999,,,,192.168.1.88,,0
EV-109,UPI_GATEWAY,PAYMENT,2026-09-20T09:50:00Z,+919876543212,,,beneficiary_mule@okbank,ACC-994411,TXN-90014,,suspicious_user@phish.net,50000
EV-110,EMAIL_LOG,PHISHING_MAIL,2026-09-20T07:50:00Z,,,,,,TXN-88000,102.164.12.1,phisher@fakealert.com,0
EV-111,CDR,CALL,2026-09-20T10:15:00Z,+919111122222,864201357924680,404450000111222,,,,172.16.0.1,legit_user@gmail.com,0
EV-112,UPI_GATEWAY,PAYMENT,2026-09-20T10:30:00Z,+919111122222,,,clean_merchant@okbank,ACC-112233,TXN-99999,,legit_user@gmail.com,500
